Symbol,Yield to worst %,Current coupon %,Volume 1 day,Term to maturity
A4EUM5,5.259925768,5,15000,10881
US912810UU0,5.262370035,5,10000,10881
US912810UU06,5.249992293,5,748800,10881
A4EP49,5.266948765,4.75,50000,10791
US912810UM8,5.277816998,4.75,50000,10607
A4EE8T,5.273830528,4.75,65000,10607
A4EAXL,5.278840464,4.75,4000,10515
A4D60W,5.278171858,4.625,5000,10426
US912810UG12,5.283314646,4.625,74000,10426
A3L5N9,5.29087639,4.5,3800,10334
A3L2GC,5.294341113,4.25,10000,10242
US912810UA42,5.278858243,4.625,1200,10150
US912810UA42,5.294013618,4.625,55000,10150
US912810UA4,5.292152508,4.625,10000,10150
US912810TX63,5.308764615,4.25,16000,10061
A3LUB6,5.314201013,4.25,4000,10061
US912810TV08,5.302188162,4.75,556900,9969
US912810TV0,5.312337877,4.75,3600,9969
A3LQVL,5.301076187,4.75,8000,9969
US912810TT51,5.312174848,4.125,19000,9877
US912810TN81,5.314588098,3.625,1300,9696
A3LD2K,5.326410989,3.625,1400,9696
US912810TN81,5.327704851,3.625,4000,9696
US912810TB4,5.371793796,1.875,10000,9238
US912810TB44,5.372583811,1.875,100000,9238
US912810SZ21,5.375150052,2,5000,9146
US912810SX7,5.360414505,2.375,10000,9054
US912810SX72,5.366223866,2.375,100000,9054
A3KLWF,5.372308015,1.875,8000,8965
US912810SS87,5.380514912,1.625,5000,8873
US912810SP4,5.395620829,1.375,25000,8781
US912810SP49,5.386270308,1.375,53000,8781
US912810SN9,5.384758445,1.25,20000,8689
US912810SN90,5.385390657,1.25,254500,8689
A28XEG,5.379764064,1.25,5400,8689
US912810SL35,5.371580912,2,142000,8600
US912810SJ88,5.377394045,2.25,20000,8416
A2R6AC,5.376787404,2.25,9000,8416
US912810SF6,5.357923312,3,5000,8235
US912810SE9,5.348241122,3.375,1000,8143
US912810RY6,5.347936935,2.75,3400,7685
US912810RX81,5.345082488,3,5000,7593
US912810UV88,5.281034124,5,691000,7228
US912810RS9,5.355713662,2.5,10000,7228
US912810UL07,5.270358376,5,97100,6863
A4EBNL,5.271220002,5,85000,6863
US912810RM2,5.3265619,3,12000,6863
A4D698,5.262816151,4.75,2500,6774
US912810UJ50,5.294818382,4.75,103500,6774
US912810RK60,5.328913505,2.5,44000,6774
US912810RH32,5.300559974,3.125,50000,6590
A1ZNDR,5.296328486,3.125,3500,6590
US912810UB25,5.255496555,4.625,60300,6498
A1ZDMA,5.27672188,3.625,2000,6408
US912810RE01,5.277739648,3.625,27000,6408
US912810RD28,5.268027406,3.75,155000,6316
US912810TU25,5.240543896,4.375,207700,6224
US912810RC45,5.259720647,3.625,10000,6224
US912810TU2,5.242449605,4.375,8000,6224
US912810QZ49,5.24745182,3.125,3400,6043
US912810QZ4,5.259163264,3.125,50000,6043
US912810TM09,5.217696841,4,5000,5951
US912810TH14,5.203943156,3.25,3000,5767
A1G0HD,5.18854257,3.125,22000,5678
T4UA,5.056661623,4.75,4000,5313
T4UA,5.043787773,4.75,10000,5313
US912810QN19,5.071263428,4.75,122000,5313
T4UA,5.063207254,4.75,24200,5313
US912810QL52,5.05289096,4.25,51000,5221
US912810QL5,5.065948566,4.25,5000,5221
A1AZWK,5.037946289,3.875,500,5129
US912810QK79,5.027035543,3.875,70000,5129
US912810SQ2,5.126958759,1.125,10000,5129
US912810QK79,5.043905571,3.875,22000,5129
US912810SR05,5.044269066,1.125,1,5037
US912810QH41,5.012560008,4.375,120000,5037
US912810QE10,4.985711958,4.625,36000,4947
US912810QD37,4.920439075,4.375,1,4855
US912810QD3,4.97780446,4.375,1500,4855
US912810QD37,4.978346492,4.375,57000,4855
A0T9JP,4.898457325,4.25,1000,4671
US912810QB70,4.912868632,4.25,93000,4671
US912810QB70,4.859456333,4.25,1,4671
US912810QA97,4.809264772,3.5,1,4582
US912810PX00,4.79933516,4.5,16000,4306
US912810PW2,4.764625718,4.375,3000,4217
US912810PW27,4.715460781,4.375,1,4217
US912810PU60,4.714917428,5,9500,3941
A0N1BM,4.694899112,5,2000,3941
US912810PU6,4.711393708,5,800,3941
A0LMWD,4.69429528,4.75,4000,3852
US912810PT97,3.148911254,4.75,1,3852
US912810PT97,4.711845636,4.75,10000,3852
US91282CQQ77,4.732769617,4.375,3000,3576
US91282CQQ77,4.734078897,4.375,1,3576
A4EUM4,4.720268919,4.375,1000,3576
US912810FT08,4.627212787,4.5,43300,3486
US912810FT08,4.627870316,4.5,1,3486
A0GM7Y,4.612097439,4.5,5700,3486
US91282CPZ85,4.704521237,4.125,4000,3486
US91282CPZ85,4.728951138,4.125,1,3486
US912810FT0,4.623266269,4.5,5000,3486
US91282CPJ44,4.694000387,4,1400,3394
US91282CPJ44,4.717257535,4,1,3394
US91282CNT44,4.708269258,4.25,1,3302
US91282CNT44,4.704774194,4.25,12000,3302
US91282CNC1,4.697991184,4.25,4300,3210
US91282CNC19,4.692358165,4.25,1,3210
US91282CMM00,4.681449882,4.625,1,3121
US91282CLW90,4.655141167,4.25,40300,3029
US91282CLW90,4.667073805,4.25,1,3029
US91282CLF67,4.65491012,3.875,1,2937
US91282CKQ32,4.636915882,4.375,1,2845
A3LYF0,4.624445403,4.375,5000,2845
US91282CKQ32,4.63613644,4.375,131700,2845
US91282CJZ59,4.628115001,4,1,2756
US91282CJZ5,4.626483461,4,1500,2756
A3LUB5,4.60135841,4,10000,2756
US91282CJJ18,4.604429628,4.5,1,2664
US91282CJJ18,4.600343122,4.5,26000,2664
US91282CJJ1,4.603610572,4.5,15000,2664
US91282CJJ18,4.578621213,4.5,20000,2664
US91282CHT18,4.569921695,3.875,46700,2572
US91282CHT18,4.593665205,3.875,17400,2572
US91282CHT1,4.595374835,3.875,9300,2572
US91282CHT18,4.596246639,3.875,1,2572
US91282CQT17,4.577968037,4.25,1,2496
US91282CHC82,4.578145251,3.375,1,2480
US91282CHC82,4.576342565,3.375,7000,2480
US91282CQN47,4.575956155,4.125,1,2465
US91282CQF13,4.567653386,4.25,1,2435
US91282CGM73,4.563728584,3.5,1,2391
US91282CGM73,4.56557688,3.5,21000,2391
US91282CPY11,4.557548659,4,1,2376
US91282CPQ86,4.548940794,3.875,1,2345
US91282CFV81,4.515769668,4.125,10000,2299
US91282CFV81,4.538734847,4.125,1,2299
US91282CNZ04,4.534897477,3.875,1,2253
US91282CNW72,4.528476299,3.875,1,2223
US91282CFF3,4.531874326,2.75,20000,2207
US91282CFF32,4.531906234,2.75,1,2207
US91282CNR87,4.52301088,4,1,2192
US91282CNF40,4.510889176,4.125,1,2131
US91282CEP23,4.511801431,2.875,1,2115
US91282CEP23,4.512841999,2.875,140200,2115
US91282CMT52,4.498486708,4.125,1,2070
US91282CMR96,4.488350182,4.125,1,2039
US91282CDY49,4.499546982,1.875,1,2025
US91282CMK44,4.490271242,4.375,1,2010
US91282CMC28,4.480854506,4.5,1,1979
US91282CMC28,4.477709668,4.5,50000,1979
US91282CLZ22,4.478951812,4.125,1,1948
US91282CDJ71,4.479413431,1.375,1,1933
US91282CDJ71,4.479413431,1.375,28000,1933
US91282CLU35,4.468596066,4.125,1,1918
US91282CLM1,4.469399486,3.625,4400,1887
US91282CLM19,4.461817215,3.625,1,1887
US91282CLJ89,4.461377851,3.75,1,1857
US91282CCS89,4.444508353,1.25,5000,1841
US91282CCS89,4.461943506,1.25,1,1841
US91282CCS89,4.468048986,1.25,1000,1841
US91282CLD10,4.454704973,4.125,1,1826
US91282CKW00,4.451161554,4.25,1,1795
US91282CQU89,4.443397759,4.125,1,1765
US91282CCB54,4.446542321,1.625,1,1749
US91282CQK08,4.44084626,3.875,1,1734
US91282CKN01,4.441330781,4.625,1,1734
US91282CKF76,4.436218653,4.125,1,1704
US91282CQG95,4.432087922,3.875,1,1704
US91282CQD64,4.425530439,3.5,1,1673
610743,4.393521011,5.375,2000,1660
US912810FP85,4.416242573,5.375,21000,1660
US91282CBL46,4.407400318,1.125,1,1660
US912810FP85,4.388136108,5.375,10000,1660
US912810FP85,4.39947535,5.375,1,1660
US91282CJX02,4.433727111,4,1,1645
US91282CJQ50,4.423160934,3.75,10000,1614
US91282CPR69,4.427888356,3.625,1,1614
US91282CJQ50,4.42827124,3.75,1,1614
US91282CAV37,4.42045737,0.875,1,1568
US91282CAV37,4.417648794,0.875,3000,1568
US91282CJG78,4.419301228,4.875,1,1553
US91282CHZ77,4.415820343,4.625,1,1522
US91282CPA35,4.416915302,3.625,1,1522
US91282CHW47,4.419398183,4.125,1,1492
US91282CAE12,4.409803615,0.625,1,1476
US91282CNN73,4.411754419,3.875,1,1461
US91282CHR51,4.408607556,4,1,1461
US91282CHJ36,4.403130153,3.75,1,1430
US91282CNK35,4.40591302,3.875,1,1430
US91282CNG23,4.407820965,4,1,1400
US91282CHF1,4.399615732,3.75,117000,1400
US91282CNG2,4.402039645,4,1800,1400
US91282CHF14,4.380471937,3.75,9900,1400
US91282CHF14,4.401082283,3.75,1,1400
US91282CNG23,4.404934715,4,10000,1400
US912810FM54,4.369682134,6.25,20700,1384
US912810FM54,4.379422739,6.25,1,1384
US912828ZQ64,4.396408963,0.625,1,1384
US912828ZQ6,4.39394485,0.625,22000,1384
US91282CGZ86,4.395744323,3.5,1,1369
US91282CMZ13,4.394852488,3.875,1,1369
US91282CGS44,4.391503867,3.625,1,1339
US91282CMU26,4.393358357,4,1,1339
A4D81E,4.369167643,4,4300,1339
US91282CGQ87,4.382233716,4,20000,1308
US91282CGQ87,4.385302626,4,1,1308
US912828Z948,4.370516256,1.5,1,1295
US91282CMG32,4.383135644,4.25,65000,1280
US91282CGJ45,4.385973199,3.5,6000,1280
US91282CGJ45,4.385973199,3.5,1,1280
US91282CMG32,4.387810081,4.25,1,1280
US91282CGB19,4.377990844,3.875,1,1249
US91282CGB19,4.381200171,3.875,165000,1249
US91282CMA61,4.37860515,4.125,1,1218
US91282CFY21,4.379207875,3.875,1,1218
US912828YS30,4.35448897,1.75,1,1203
US912828YS30,4.356215882,1.75,16000,1203
US91282CFT36,4.367602938,4,1,1188
US91282CLR06,4.370900786,4.125,1,1188
US91282CLN91,4.360467395,3.5,1,1157
US91282CFL00,4.359554871,3.875,1,1157
US91282CLK52,4.363410182,3.625,33300,1127
US91282CLK52,4.359868186,3.625,1,1127
US91282CFJ53,4.351526362,3.125,1,1127
A2R6AB,4.299546279,1.625,100,1111
US912828YB05,4.333102976,1.625,31000,1111
US912828YB05,4.331245993,1.625,1,1111
US912810FJ26,4.320954174,6.125,59000,1111
US912810FJ26,4.332984066,6.125,1,1111
US91282CLC37,4.349681184,4,1,1096
A3L12J,4.355080012,4,10000,1096
